County,Population,Percentage_Population_Black,Median_household_income,Renter,No_HS,Park,Fast_food,Overweight,Sedentary,Medical_checkup,Food_insecurity,ED_Visits_Diabetes
Madison,19533,37.8,37037,26.4,19,5.4,0.9,30.5,34.7,81.7,11.5,548.2
Manatee,388729,9.1,59009,27.1,10.3,23.4,21.7,35.9,26.1,77.8,13.8,249.8
Marion,360053,13.5,45371,25,12.4,14.7,9.8,31.8,32.3,83.4,11.1,268.2
Martin,158006,5.7,61133,22,9,38.6,18,36.4,26.6,79.2,10.3,131.6
Miami-Dade,2830500,17.9,51347,48.8,18.6,68.8,55.3,34.7,30.7,79.1,16.1,200.1
Monroe,73253,6.9,70033,40.5,8.6,53,28.4,39.7,23.2,72.5,10.7,180.6
Nassau,85135,6,69943,20,8.7,15.9,5.5,36.4,25.8,79,11.7,227.2
Okaloosa,201104,10.3,63412,36.6,7.6,40.8,24.4,40.6,27.2,70.6,12.3,257.2
Okeechobee,41347,9.1,41760,27.8,22.8,9.9,7.4,38.2,37.7,73.3,14.7,411.6
Orange,1389297,22.7,58254,44.6,11.5,25.5,29.6,34.7,27,75.2,11.2,247.8
Osceola,368678,13.9,52279,38.4,13.3,21.8,21.1,42.8,29,75,11.1,257.4
Palm Beach,1458576,19.7,63299,31.1,11.5,44.5,34.9,35.2,25.6,79.8,10.6,199.6
Pasco,527174,6.5,52828,27.9,10.5,13.9,17.2,33.6,27.5,77,12.8,220.9
Pinellas,979558,11.1,54090,33,8.7,59.2,38.9,35.4,22,79.9,12.6,219
Polk,688770,16.1,50584,31.1,15,23.2,13.8,35,31.7,75.6,12.9,477.8
Putnam,73012,16.4,37670,29.3,18.2,14.6,6.1,30.2,35.9,75.8,16.7,479.6
Santa Rosa,179875,6.5,67949,24,8.7,25.8,12.1,36.2,29.4,73.3,11.6,266.9
Sarasota,426977,4.8,62236,25.1,6.9,37.2,19.8,39.8,22,78.1,11.3,127.2
Seminole,472775,12.9,66768,35.4,5.7,38.7,27.4,37.6,22.6,76.1,10.1,162.9
St. Johns,249734,5.5,82252,19.6,5.2,20.2,10.2,34.3,22.2,77.3,9.4,85.1
St. Lucie,309073,21,52322,26.8,13.7,34.3,18.4,37.7,30.3,74.3,11.7,283.3
Sumter,130642,7.5,57226,10.3,7.9,7.1,11.2,43.8,21.5,89.1,11.7,182.3
Suwannee,45482,12.8,47839,25.7,17.7,4.3,1,37.6,36.2,72.2,14.1,298.9
Taylor,22652,19.6,40306,22.6,21.2,5,1.6,30.5,32.9,76.1,16.1,244.2
Union,15985,22.6,44270,33.9,23.5,3,0.5,35.9,26.4,69.6,14.9,261.9
Volusia,539563,11.4,49494,29.7,9.5,38.4,18.1,30.7,25.1,75.8,13.3,260.3
Wakulla,32418,13.1,61410,18,12.3,5.5,1.7,36.7,33.8,75.8,11.3,326.6
Walton,70352,5.2,58093,25.4,10.9,19.2,8.5,37.9,31.4,69.6,13.2,196.7
Washington,25347,14.9,37022,22.3,18.7,7.8,1.1,30.6,33.6,74.3,17,321.3
